-18,1.372,.239,1.65,.121,0.0198,0.73
0,1.296,0.24,1.732,.135,0.0208,0.72
38,1.136,0.24,1.91,.168,.023,0.72
93,0.96,.241,2.14,.222,0.0259,0.72
149,0.832,.243,2.392,.285,0.0287,0.71
204,0.735,.245,2.602,.352,0.0315,.689
260,0.66,.247,2.815,.425,.0344,.683
316,0.597,.25,2.976,.505,.0372,.685
371,.545,.253,3.18,.584,.04,.69
427,.503,.256,3.34,.667,.0425,.697
482,.465,.259,3.51,.759,.0451,.705
538,.434,.262,3.67,.855,.0475,.713
816,.323,.276,4.46,1.37,.0595,.739
1093,.258,.286,5.14,1.99,.07,.753
1371,.213,.292,5.49,2.6,.076,.763
1649,.183,.297,5.74,3.15,.08,.765
