0,1000,1.01,179,1.79,.474,13.7
4,1000,1,155,1.55,.483,11.6
10,1000,1,131,1.31,.493,9.55
16,997,0.999,113,1.13,.505,8.03
21,997,.998,97.8,.985,.516,6.82
27,995,.998,86,.864,.525,5.89
32,994,.997,76.3,.765,.534,5.13
38,992,.998,68.1,.686,.541,4.52
66,979,1,43.4,.443,.57,2.74
93,962,1,30.5,.316,.581,1.88
121,941,1.01,23.4,.25,.589,1.45
149,917,1.03,18.7,.204,.586,1.18
177,890,1.05,15.6,.175,.581,1.02
204,857,1.08,13.5,.158,.566,.927
232,826,1.12,11.8,.144,.545,.876
260,784,1.19,10.5,.134,.519,.87
288,735,1.31,9.5,.129,.483,.93
316,678,1.51,8.6,.127,.434,1.09
